x,y,z,alpha,beta,gamma
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.25999999046325684,nan,nan
0.0,0.0,0.0,0.27000001072883606,nan,nan
0.0,0.0,0.0,0.28999999165534973,nan,nan
0.0,0.0,0.0,0.30000001192092896,nan,nan
0.0,0.0,0.0,0.3100000023841858,nan,nan
0.0,0.0,0.0,0.30000001192092896,nan,nan
0.0,0.0,0.0,0.30000001192092896,nan,nan
0.0,0.0,0.0,0.28999999165534973,nan,nan
0.0,0.0,0.0,0.28999999165534973,nan,nan
0.0,0.0,0.0,0.2800000011920929,nan,nan
0.0,0.0,0.0,0.27000001072883606,nan,nan
0.0,0.0,0.0,0.25999999046325684,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.27000001072883606,nan,nan
0.0,0.0,0.0,0.27000001072883606,nan,nan
0.0,0.0,0.0,0.27000001072883606,nan,nan
0.0,0.0,0.0,0.25999999046325684,nan,nan
0.0,0.0,0.0,0.25999999046325684,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.25999999046325684,nan,nan
0.0,0.0,0.0,0.25999999046325684,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.27000001072883606,nan,nan
0.0,0.0,0.0,0.27000001072883606,nan,nan
0.0,0.0,0.0,0.25999999046325684,nan,nan
0.0,0.0,0.0,0.25999999046325684,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.1599999964237213,nan,nan
0.0,0.0,0.0,0.1599999964237213,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.1599999964237213,nan,nan
0.0,0.0,0.0,0.1599999964237213,nan,nan
0.0,0.0,0.0,0.1599999964237213,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.1599999964237213,nan,nan
0.0,0.0,0.0,0.1599999964237213,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.1899999976158142,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.18000000715255737,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.1599999964237213,nan,nan
0.0,0.0,0.0,0.1599999964237213,nan,nan
0.0,0.0,0.0,0.15000000596046448,nan,nan
0.0,0.0,0.0,0.15000000596046448,nan,nan
0.0,0.0,0.0,0.15000000596046448,nan,nan
0.0,0.0,0.0,0.14000000059604645,nan,nan
0.0,0.0,0.0,0.14000000059604645,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.09000000357627869,nan,nan
0.0,0.0,0.0,0.09000000357627869,nan,nan
0.0,0.0,0.0,0.09000000357627869,nan,nan
0.0,0.0,0.0,0.09000000357627869,nan,nan
0.0,0.0,0.0,0.09000000357627869,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07000000029802322,nan,nan
0.0,0.0,0.0,0.07000000029802322,nan,nan
0.0,0.0,0.0,0.07000000029802322,nan,nan
0.0,0.0,0.0,0.07000000029802322,nan,nan
0.0,0.0,0.0,0.07000000029802322,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.07999999821186066,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.10000000149011612,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.10999999940395355,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.11999999731779099,nan,nan
0.0,0.0,0.0,0.14000000059604645,nan,nan
0.0,0.0,0.0,0.14000000059604645,nan,nan
0.0,0.0,0.0,0.14000000059604645,nan,nan
0.0,0.0,0.0,0.12999999523162842,nan,nan
0.0,0.0,0.0,0.15000000596046448,nan,nan
0.0,0.0,0.0,0.15000000596046448,nan,nan
0.0,0.0,0.0,0.15000000596046448,nan,nan
0.0,0.0,0.0,0.17000000178813934,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20999999344348907,nan,nan
0.0,0.0,0.0,0.20000000298023224,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.2199999988079071,nan,nan
0.0,0.0,0.0,0.23000000417232513,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.28999999165534973,nan,nan
0.0,0.0,0.0,0.30000001192092896,nan,nan
0.0,0.0,0.0,0.3100000023841858,nan,nan
0.0,0.0,0.0,0.30000001192092896,nan,nan
0.0,0.0,0.0,0.30000001192092896,nan,nan
0.0,0.0,0.0,0.3100000023841858,nan,nan
0.0,0.0,0.0,0.4000000059604645,nan,nan
0.0,0.0,0.0,0.38999998569488525,nan,nan
0.0,0.0,0.0,0.3799999952316284,nan,nan
0.0,0.0,0.0,0.3799999952316284,nan,nan
0.0,0.0,0.0,0.3700000047683716,nan,nan
0.0,0.0,0.0,0.36000001430511475,nan,nan
0.0,0.0,0.0,0.3499999940395355,nan,nan
0.0,0.0,0.0,0.33000001311302185,nan,nan
0.0,0.0,0.0,0.33000001311302185,nan,nan
0.0,0.0,0.0,0.3400000035762787,nan,nan
