x,y,z,alpha,beta,gamma
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.23999999463558197,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,0.25,nan,nan
0.0,0.0,0.0,nan,4.639999866485596,nan
0.0,0.0,0.0,nan,4.550000190734863,nan
0.0,0.0,0.0,nan,4.5,nan
0.0,0.0,0.0,nan,4.5,nan
0.0,0.0,0.0,nan,4.449999809265137,nan
0.0,0.0,0.0,nan,nan,0.07999999821186066
0.0,0.0,0.0,nan,nan,0.07999999821186066
0.0,0.0,0.0,nan,nan,0.07999999821186066
0.0,0.0,0.0,nan,nan,0.07999999821186066
0.0,0.0,0.0,nan,nan,0.07999999821186066
